year,player_id,pred_r2,pred_r3,pred_r4,pred_qf,pred_sf,pred_f,pred_w,actual_rounds,reached_r2,reached_r3,reached_r4,reached_qf,reached_sf,reached_f,reached_w
2011,F401,0.9191,0.6674,0.5567,0.3518,0.1009,0.0383,0.0124,3,1,1,1,0,0,0,0
2011,PD31,0.0809,0.0176,0.007,0.0012,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,H940,0.1853,0.0247,0.0095,0.0011,0.0,0.0,0.0,1,1,0,0,0,0,0,0
2011,D646,0.8147,0.2903,0.2073,0.0906,0.0155,0.0036,0.0003,0,0,0,0,0,0,0,0
2011,B804,0.449,0.1422,0.0183,0.0032,0.0001,0.0,0.0,2,1,1,0,0,0,0,0
2011,B884,0.551,0.1896,0.0276,0.006,0.0004,0.0,0.0,0,0,0,0,0,0,0,0
2011,G476,0.7435,0.5446,0.1575,0.0532,0.0063,0.0008,0.0001,1,1,0,0,0,0,0,0
2011,G806,0.2565,0.1236,0.0161,0.0019,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,G415,0.6653,0.5833,0.2836,0.1312,0.0246,0.0046,0.001,2,1,1,0,0,0,0,0
2011,D801,0.3347,0.2638,0.0922,0.0309,0.0036,0.0004,0.0001,0,0,0,0,0,0,0,0
2011,D424,0.5438,0.0899,0.0154,0.0024,0.0002,0.0001,0.0,1,1,0,0,0,0,0,0
2011,R383,0.4562,0.063,0.0084,0.0006,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,D875,0.5992,0.1064,0.0303,0.007,0.0005,0.0,0.0,1,1,0,0,0,0,0,0
2011,SK94,0.4008,0.0555,0.0122,0.0026,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,T786,0.9011,0.7949,0.5476,0.3151,0.0765,0.0262,0.0072,5,1,1,1,1,1,0,0
2011,SC47,0.0989,0.0432,0.0103,0.0012,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,A479,0.5971,0.3955,0.216,0.024,0.0083,0.0019,0.0002,2,1,1,0,0,0,0,0
2011,N289,0.4029,0.2211,0.0975,0.0088,0.0021,0.0003,0.0001,0,0,0,0,0,0,0,0
2011,I186,0.49,0.1871,0.0776,0.0035,0.0006,0.0001,0.0,1,1,0,0,0,0,0,0
2011,M873,0.51,0.1963,0.0814,0.0048,0.0009,0.0001,0.0,0,0,0,0,0,0,0,0
2011,D616,0.6786,0.245,0.1097,0.0077,0.0016,0.0,0.0,1,1,0,0,0,0,0,0
2011,G512,0.3214,0.0709,0.0217,0.0009,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,Y061,0.7006,0.5155,0.3253,0.0433,0.0175,0.0049,0.0003,3,1,1,1,0,0,0,0
2011,MA21,0.2994,0.1686,0.0708,0.0057,0.0013,0.0001,0.0,0,0,0,0,0,0,0,0
2011,N301,0.911,0.801,0.1511,0.1124,0.0625,0.0217,0.0077,2,1,1,0,0,0,0,0
2011,R782,0.089,0.035,0.0013,0.0004,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,H804,0.5085,0.0817,0.0034,0.0011,0.0001,0.0,0.0,1,1,0,0,0,0,0,0
2011,S963,0.4915,0.0823,0.0046,0.0009,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,ME82,0.6936,0.0375,0.0099,0.0045,0.0014,0.0004,0.0,1,1,0,0,0,0,0,0
2011,N349,0.3064,0.0088,0.0019,0.0004,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,F324,0.9688,0.9375,0.8235,0.7805,0.6744,0.4664,0.3099,4,1,1,1,1,0,0,0
2011,K926,0.0312,0.0162,0.0043,0.0011,0.0002,0.0,0.0,0,0,0,0,0,0,0,0
2011,SA49,0.7136,0.5063,0.426,0.3238,0.1357,0.048,0.0185,2,1,1,0,0,0,0,0
2011,P624,0.2864,0.146,0.1022,0.057,0.0144,0.0034,0.0004,0,0,0,0,0,0,0,0
2011,H432,0.7325,0.2964,0.2148,0.1341,0.0406,0.0093,0.0026,1,1,0,0,0,0,0,0
2011,N552,0.2675,0.0513,0.0254,0.0101,0.0016,0.0002,0.0,0,0,0,0,0,0,0,0
2011,A511,0.5898,0.2375,0.0433,0.0129,0.0012,0.0,0.0,1,1,0,0,0,0,0,0
2011,G681,0.4102,0.1384,0.0197,0.0049,0.0005,0.0,0.0,0,0,0,0,0,0,0,0
2011,TA46,0.2524,0.1112,0.0155,0.0045,0.0001,0.0,0.0,4,1,1,1,1,0,0,0
2011,D402,0.7476,0.5129,0.1531,0.0695,0.015,0.0024,0.0007,0,0,0,0,0,0,0,0
2011,MB02,0.9498,0.598,0.3392,0.1407,0.0323,0.0072,0.0013,1,1,0,0,0,0,0,0
2011,E687,0.0502,0.0051,0.0005,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,M680,0.7499,0.3358,0.1592,0.0547,0.0107,0.0011,0.0001,3,1,1,1,0,0,0,0
2011,Z168,0.2501,0.0611,0.0147,0.0024,0.0006,0.0002,0.0,0,0,0,0,0,0,0,0
2011,T315,0.6601,0.3401,0.1678,0.0613,0.0148,0.002,0.0003,1,1,0,0,0,0,0,0
2011,G858,0.3399,0.1257,0.0439,0.0099,0.0012,0.0002,0.0,0,0,0,0,0,0,0,0
